property_id,city,area,road_width,distance_from_city,property_type,amenities,price,timestamp,latitude,longitude
PROP_000000,kolkata,1360,40,43,residential,"mall,security,metro,park",8686942,2024-01-01T00:00:00,13.508884729488528,72.564115790271
PROP_000001,ahmedabad,2933,60,21,residential,"security,hospital,pool",28367070,2024-01-01T00:00:00,8.39493860652042,74.92144648535218
PROP_000002,ahmedabad,2306,30,47,commercial,"school,gym",26385047,2024-01-01T00:00:00,11.50499251969543,72.13264961159867
PROP_000003,mumbai,2863,30,9,commercial,"park,security,metro,hospital",56831763,2024-01-01T00:00:00,16.09320402078782,74.58779981600017
PROP_000004,ahmedabad,3573,30,6,commercial,metro,51512949,2024-01-01T00:00:00,12.978999788110851,81.21874235023117
PROP_000005,ahmedabad,4298,60,40,residential,"gym,hospital,mall,metro",34321768,2024-01-01T00:00:00,8.652669390630024,72.15636406741194
PROP_000006,mumbai,2527,60,24,industrial,"school,mall",35920797,2024-01-01T00:00:00,13.510770255019445,81.14959675543781
PROP_000007,mumbai,3604,60,23,commercial,"school,pool,metro,park",70841194,2024-01-01T00:00:00,14.13244787222995,79.60785048616897
PROP_000008,delhi,1002,40,14,industrial,"park,hospital",8239671,2024-01-01T00:00:00,13.364104112637804,75.14355981076326
PROP_000009,ahmedabad,2257,20,23,industrial,"school,gym,security,metro",16348764,2024-01-01T00:00:00,15.804678390152578,78.24354048133793
PROP_000010,chennai,3560,30,28,commercial,"gym,park",39462945,2024-01-01T00:00:00,13.476901205413624,72.00520376995316
PROP_000011,hyderabad,1782,40,6,industrial,,15082657,2024-01-01T00:00:00,12.18790621743366,79.03018958895179
PROP_000012,mumbai,2353,20,12,commercial,school,43325991,2024-01-01T00:00:00,12.026790232288615,72.5147875124999
PROP_000013,hyderabad,3974,30,2,residential,"security,metro,park",59248988,2024-01-01T00:00:00,10.677831327192532,78.32305830593579
PROP_000014,chennai,2430,40,48,residential,,16229821,2024-01-01T00:00:00,12.12093058299281,74.26495775197938
PROP_000015,ahmedabad,2234,60,41,residential,gym,19881595,2024-01-01T00:00:00,15.77339353380981,74.57941627715155
PROP_000016,pune,1123,20,49,commercial,,10590977,2024-01-01T00:00:00,10.492095746126608,79.2595567887024
PROP_000017,bangalore,4999,60,33,industrial,,38272749,2024-01-01T00:00:00,13.635017691080558,72.05061583846219
PROP_000018,ahmedabad,4933,30,35,residential,,37556281,2024-01-01T00:00:00,13.496328990472147,80.49223410494179
PROP_000019,mumbai,3604,60,12,industrial,"metro,mall",46062792,2024-01-01T00:00:00,14.948113035416483,77.02637093105191
PROP_000020,pune,1459,20,5,residential,"pool,park",14048510,2024-01-01T00:00:00,15.834940222662588,79.47718773897414
